system:openshift:controller:image-trigger-controller                              5d21h
system:openshift:controller:ingress-to-route-controller                           5d21h
system:openshift:controller:machine-approver                                      5d21h
system:openshift:controller:namespace-security-allocation-controller              5d21h
system:openshift:controller:origin-namespace-controller                           5d21h
system:openshift:controller:pv-recycler-controller                                5d21h
system:openshift:controller:resourcequota-controller                              5d21h
system:openshift:controller:service-ca                                            5d21h
system:openshift:controller:service-ingress-ip-controller                         5d21h
system:openshift:controller:service-serving-cert-controller                       5d21h
system:openshift:controller:serviceaccount-controller                             5d21h
system:openshift:controller:serviceaccount-pull-secrets-controller                5d21h
system:openshift:controller:template-instance-controller                          5d21h
system:openshift:controller:template-instance-controller:admin                    5d21h
system:openshift:controller:template-instance-finalizer-controller                5d21h
system:openshift:controller:template-instance-finalizer-controller:admin          5d21h
system:openshift:controller:template-service-broker                               5d21h
system:openshift:controller:unidling-controller                                   5d21h
system:openshift:discovery                                                        5d21h
system:openshift:openshift-apiserver                                              5d21h
system:openshift:openshift-controller-manager                                     5d21h
system:openshift:operator:authentication                                          5d21h
system:openshift:operator:cluster-kube-scheduler-operator                         5d21h
system:openshift:operator:etcd-operator                                           5d21h
system:openshift:operator:kube-apiserver-operator                                 5d21h
system:openshift:operator:kube-apiserver-recovery                                 5d21h
system:openshift:operator:kube-controller-manager-operator                        5d21h
system:openshift:operator:kube-controller-manager-recovery                        5d21h
system:openshift:operator:kube-scheduler-recovery                                 5d21h
system:openshift:operator:kube-scheduler:public-2                                 5d21h
system:openshift:operator:kube-storage-version-migrator-operator                  5d21h
system:openshift:operator:openshift-apiserver-operator                            5d21h
system:openshift:operator:openshift-controller-manager-operator                   5d21h
system:openshift:operator:openshift-etcd-installer                                5d21h
system:openshift:operator:openshift-kube-apiserver-installer                      5d21h
system:openshift:operator:openshift-kube-controller-manager-installer             5d21h
system:openshift:operator:openshift-kube-scheduler-installer                      5d21h
system:openshift:operator:openshift-service-catalog-apiserver-operator            5d21h
system:openshift:operator:openshift-service-catalog-controller-manager-operator   5d21h
system:openshift:operator:service-ca-operator                                     5d21h
system:openshift:public-info-viewer                                               5d21h
system:openshift:tokenreview-openshift-controller-manager                         5d21h
system:public-info-viewer                                                         5d21h
system:scope-impersonation                                                        5d21h
system:sdn-readers                                                                5d21h
system:volume-scheduler                                                           5d21h
system:webhooks                                                                   5d21h
telemeter-client                                                                  5d21h
telemeter-client-view                                                             5d21h
thanos-querier                                                                    5d20h
